Observación;MUESTRA;PROYECTO;TIPO PELIGRO;PELIGRO ESPECIFICO;LONGITUD;LATITUD
1026;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.64760694;-7.205631433
1027;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Traslacional;-78.66189231;-7.208416285
1028;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.62424935;-7.271101527
1029;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Fluvial;-78.57505372;-7.289892932
1030;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.54164374;-7.352840974
1031;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Reptacion;Reptación de Suelo;-78.52843215;-7.356808128
1032;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.52591664;-7.320580499
1033;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Fluvial;-78.6643844;-7.251814064
1034;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Traslacional;-78.66815458;-7.249121863
1035;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Fluvial;-78.71288863;-7.230864755
1036;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.72895452;-7.227284351
1037;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Fluvial;-78.74391838;-7.221410973
1038;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.74643844;-7.22429785
1039;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.74550482;-7.219086741
1040;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.76544416;-7.224752948
1041;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.77005112;-7.217417593
1042;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.78017996;-7.213634319
1043;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Fluvial;-78.7799796;-7.213886444
1044;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.80706087;-7.225280416
1045;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.85567881;-7.225213348
1046;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.85190117;-7.22200456
1047;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.86327895;-7.224046741
1048;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.88445116;-7.230021362
1049;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.88469319;-7.226641576
1050;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.90262919;-7.214104648
1051;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.91225248;-7.219825881
1052;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Fluvial;-78.91831505;-7.214420503
1053;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;Flujo de Lodo;-78.82808002;-7.177561809
1054;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.81771467;-7.178000769
1055;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Mov. Complejo;;-78.79646824;-7.154396862
1056;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Fluvial;-78.90881689;-7.199171809
1057;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Traslacional;-78.85887378;-7.085537208
1058;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Fluvial;-78.83781336;-7.234069141
1059;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.82818732;-7.259406351
1060;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.83148587;-7.264357717
1061;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.83025987;-7.267054676
1062;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.8239798;-7.281569136
1063;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.82108274;-7.28721391
1064;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.81917088;-7.285686062
1065;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.80929608;-7.300164666
1066;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.79647296;-7.334135305
1067;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Caída de Roca;-78.81188763;-7.329419748
1068;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.90070205;-7.33658699
1069;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.91666894;-7.310445286
1070;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.93866655;-7.303404703
1071;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.84051821;-7.33087795
1072;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.8295879;-7.344384578
1073;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Caída de Roca;-78.82687169;-7.344371432
1074;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.80697324;-7.299375999
1075;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.83738445;-7.223382304
1076;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.50994349;-7.326502361
1077;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Mov. Complejo;;-78.57120683;-7.269708638
1078;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Mov. Complejo;;-78.62255954;-7.025639257
1079;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Fluvial;-78.6310152;-7.029803593
1080;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.7026783;-7.014740331
1081;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.73743615;-7.104296411
1082;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Reptacion;Reptación de Suelo;-78.76000051;-7.114421409
1083;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Caída de Roca;-78.77182795;-7.121917791
1084;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.8532294;-7.106501425
1085;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Deslizamiento;Deslizamiento Rotacional;-75.75842837;-9.148231547
1086;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Inundación Fluvial;-70.67070762;-9.685587727
1087;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Inundación Fluvial;-74.60518384;-8.082143211
1088;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-70.71907889;-9.789770631
1089;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.50780854;-7.250982096
1090;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.52556971;-7.230292589
1091;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.52234211;-7.241300955
1092;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.51375141;-7.268041429
1093;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.5160058;-7.276133382
1094;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Mov. Complejo;;-78.52330649;-7.296526095
1095;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.50660147;-7.305652411
1096;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.50537331;-7.288808764
1097;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.52940206;-7.274326845
1098;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.52892658;-7.275209942
1099;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.52596379;-7.274127322
1100;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.54653315;-7.286440217
1101;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Traslacional;-78.54882785;-7.2805781
1102;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Traslacional;-78.55413166;-7.287294788
1103;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.55776387;-7.285145341
1104;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.55683156;-7.306831115
1105;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Mov. Complejo;;-78.56356141;-7.31771298
1106;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.56602479;-7.280670927
1107;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.57682298;-7.292478243
1108;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.59087204;-7.288938153
1109;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.59740834;-7.285357701
1110;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.60318752;-7.270927337
1111;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.60367171;-7.264964718
1112;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.64597534;-7.258515941
1113;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.63621511;-7.272908513
1114;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.64115382;-7.263172796
1115;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.62878054;-7.270067781
1116;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.62600587;-7.271002275
1117;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.61676906;-7.270095153
1118;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.61083414;-7.279825152
1119;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.60723133;-7.276461995
1120;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.60540957;-7.278621521
1121;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.59790711;-7.276683766
1122;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.57081539;-7.286941882
1123;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.56118471;-7.288598192
1124;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.53108154;-7.298195455
1125;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.54683968;-7.306596111
1126;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.5295698;-7.309755384
1127;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.53436229;-7.317246752
1128;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.52523708;-7.307562585
1129;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.65792595;-7.240482685
1130;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.64909355;-7.233206373
1131;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.65672365;-7.245447667
1132;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.89411015;-7.097902158
1133;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.85755815;-7.076491384
1134;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.85967456;-7.057065601
1135;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.86899146;-7.049876377
1136;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.82922088;-7.040653622
1137;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.85823366;-7.014120036
1138;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.84206512;-7.010204114
1139;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.82563535;-7.033405293
1140;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.93887696;-7.205455518
1141;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.95448988;-7.195807351
1142;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.95833274;-7.192705605
1143;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.97620516;-7.193896895
1144;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.9792315;-7.189136927
1145;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.99677074;-7.187894026
1146;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.83463624;-7.235934278
1147;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.82780405;-7.244941268
1148;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Caída de Roca;-78.80593206;-7.275208648
1149;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.82396235;-7.272041419
1150;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.83065987;-7.200371804
1151;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.8343928;-7.207205336
1152;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Fluvial;-78.83908738;-7.217415195
1153;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.74524554;-7.26397335
1154;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.74834384;-7.166466204
1155;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.74835293;-7.166457209
1156;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.74894913;-7.174052965
1157;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.6423477;-7.311805548
1158;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Mov. Complejo;;-78.65761382;-7.335385195
1159;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.67140867;-7.293879515
1160;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.62974947;-7.21803921
1161;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.60399126;-7.204410709
1162;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.58088314;-7.227209445
1163;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.79782557;-7.359144703
1164;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.56475728;-7.263943998
1165;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.66316394;-7.136566235
1166;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Reptacion;Reptación de Suelo;-78.74478354;-7.087646058
1167;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Mov. Complejo;;-78.7632999;-7.107685084
1168;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Traslacional;-78.77236933;-7.10348033
1169;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.80810133;-7.010001633
1170;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Mov. Complejo;;-78.8302508;-7.007826497
1171;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Flujo;;-75.51986366;-9.257838869
1172;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-74.18342727;-9.610906107
1173;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-74.1377621;-9.65058796
1174;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-74.15745046;-9.795337396
1175;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-74.09596211;-9.941685206
1176;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-74.14740498;-8.864687908
1177;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-74.37929594;-8.648072119
1178;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Caida;Derrumbe;-74.49582479;-8.43432969
1179;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-74.06080906;-10.1120567
1180;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-74.08012174;-10.22017965
1181;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-74.0276076;-10.37556997
1182;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Inundación Fluvial;-74.0654944;-10.38201267
1183;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Inundación Fluvial;-74.51352179;-8.802934145
1184;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Inundación Fluvial;-73.75733353;-10.73154571
1185;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Caida;Derrumbe;-74.41296924;-9.134277202
1186;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Caida;Derrumbe;-74.38674693;-9.299295778
1187;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Caida;Derrumbe;-74.25094959;-9.361441535
1188;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-70.51811112;-9.489186101
1189;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Inundación Fluvial;-70.771019;-9.787243604
1190;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-70.70098205;-9.72612325
1191;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-70.51499643;-9.514637154
1192;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Caida;Derrumbe;-70.87120784;-9.856315246
1193;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-74.51598319;-8.293704081
1194;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Inundación Fluvial;-74.64150978;-8.057754221
1195;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-70.94786623;-10.02492301
1196;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Deslizamiento;Deslizamiento Rotacional;-75.21913337;-8.83028392
1197;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-74.46945226;-9.095743401
1198;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-74.70415313;-8.027954313
1199;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Inundación Fluvial;-75.58605938;-8.519237819
1200;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Caida;Derrumbe;-74.11686616;-9.625212522
1201;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Caida;Derrumbe;-74.41052797;-8.669828983
1202;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-73.98144354;-10.05776067
1203;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Inundación Fluvial;-75.12347048;-8.18950404
1204;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Inundación Fluvial;-75.50219547;-9.045947125
1205;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Inundación Fluvial;-75.49418377;-9.122205065
1206;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-74.06200569;-10.17129407
1207;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Inundación Fluvial;-73.75393584;-10.73509473
1208;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión Fluvial;-70.98724106;-10.05090391
1209;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Otro Peligro;Erosión de Ladera;-75.42282535;-8.975081375
1210;Peligros;Estudio de Riesgos Geológicos en las Regiones de Ancash, Huánuco y Ucayali;Mov. Complejo;;-75.75718735;-9.146678527
1211;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.68781066;-7.242732516
1212;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.82726368;-7.072283108
1213;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.83050659;-7.056026933
1214;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.82372681;-7.05461231
1215;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.8214625;-7.055080844
1216;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.7955938;-7.072134246
1217;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.66403401;-7.078994843
1218;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.66221208;-7.081444184
1219;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.73298832;-7.121873636
1220;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Mov. Complejo;;-78.78999234;-7.108265142
1221;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Caída de Roca;-78.81444223;-7.104765328
1222;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.81710576;-7.115625298
1223;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.84955328;-7.143800262
1224;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.85903915;-7.147460308
1225;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.8576268;-7.159205402
1226;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.85820803;-7.033555453
1227;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Reptacion;Reptación de Suelo;-78.85321499;-7.037148483
1228;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.88006847;-7.03561662
1229;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.8671321;-7.060715679
1230;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.87623435;-7.049005379
1231;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.9639636;-7.059340407
