Observación;MUESTRA;PROYECTO;TIPO PELIGRO;PELIGRO ESPECIFICO;LONGITUD;LATITUD
855;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Fluvial;-79.26271023;-7.273936241
856;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.26769394;-7.273051142
857;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.31014331;-7.275869801
858;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.31769463;-7.288249358
859;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Arenamiento;-79.49781019;-7.103866747
860;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.38820163;-7.240400749
861;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.36473342;-7.191868451
862;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.37954022;-7.29984142
863;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.35073729;-7.1789783
864;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.31938547;-7.149152201
865;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.27572648;-7.129116773
866;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.2297972;-7.14520007
867;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.21969904;-7.148768804
868;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.17133507;-7.118498616
869;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Arenamiento;-79.48899974;-7.453549948
870;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Arenamiento;-79.35616707;-7.34662271
871;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.3227916;-7.312916978
872;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.29820766;-7.285662773
873;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.28539418;-7.283272532
874;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-79.04530722;-7.018986639
875;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Mov. Complejo;Deslizamiento - Derrumbe;-78.82855303;-7.007140682
876;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Deslizamiento;Deslizamiento;-74.77111368;-12.46388761
877;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-72.49263848;-12.44754303
878;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-73.95291838;-13.74157657
879;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-73.87067091;-13.85547767
880;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-73.82333094;-13.66745704
881;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-73.77175518;-13.52886117
882;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-73.75724046;-13.5767399
883;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-73.71221804;-13.63458606
884;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-73.69032388;-13.6423004
885;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-73.66052805;-13.68380701
886;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-73.75263876;-13.57310078
887;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-79.06118306;-7.044249496
888;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.17460889;-7.114641807
889;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.18225344;-7.127149122
890;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.18649422;-7.130601549
891;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.16899362;-7.161002039
892;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.16262625;-7.168661811
893;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.15936667;-7.168829594
894;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-79.14823001;-7.146904917
895;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.13733663;-7.15454608
896;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.13699281;-7.147808964
897;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.12651225;-7.145189737
898;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.11808752;-7.124622968
899;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.1182851;-7.120564292
900;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.10769464;-7.094121053
901;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.10389038;-7.099258954
